Question	Answer	Tags
31的谐音编码是什么？	🦈 鲨鱼（shā yú）	数字编码 谐音
32的谐音编码是什么？	🪭 扇儿（shàn ér）	数字编码 谐音
33的谐音编码是什么？	⭐ 星星（sān sān）	数字编码 谐音
34的谐音编码是什么？	🏯 山寺（shān sì）	数字编码 谐音
35的谐音编码是什么？	🪸 珊瑚（shān hú）	数字编码 谐音
36的谐音编码是什么？	🛤️ 山路（shān lù）	数字编码 谐音
37的谐音编码是什么？	🐔 山鸡（shān jī）	数字编码 谐音
38的谐音编码是什么？	👩 妇女（sān bā）	数字编码 谐音
39的谐音编码是什么？	📐 三角（sān jiǎo）	数字编码 谐音
40的谐音编码是什么？	🎖️ 司令（sī lìng）	数字编码 谐音
41的谐音编码是什么？	🎤 司仪（sī yí）	数字编码 谐音
42的谐音编码是什么？	🍅 柿儿（shì ér）	数字编码 谐音
43的谐音编码是什么？	⛰️ 石山（shí shān）	数字编码 谐音
44的谐音编码是什么？	🦁 石狮（shí shī）	数字编码 谐音
45的谐音编码是什么？	🧑‍🏫 师父（shī fu）	数字编码 谐音
46的谐音编码是什么？	🌾 饲料（sì liào）	数字编码 谐音
47的谐音编码是什么？	🚗 司机（sī jī）	数字编码 谐音
48的谐音编码是什么？	🪨 石板（shí bǎn）	数字编码 谐音
49的谐音编码是什么？	🏺 石臼（shí jiù）	数字编码 谐音
50的谐音编码是什么？	📕 武功秘籍（wǔ gōng mì jí）	数字编码 谐音
51的谐音编码是什么？	👷 工人（wǔ yī）	数字编码 谐音
52的谐音编码是什么？	🥁 鼓儿（gǔ ér）	数字编码 谐音
53的谐音编码是什么？	🥩 午餐肉（wǔ sān）	数字编码 谐音
54的谐音编码是什么？	⚔️ 武士（wǔ shì）	数字编码 谐音
55的谐音编码是什么？	🚂 火车（wǔ wǔ）	数字编码 谐音
56的谐音编码是什么？	🌳 梧桐树（wú tóng）	数字编码 谐音
57的谐音编码是什么？	⚔️ 武器（wǔ qì）	数字编码 谐音
58的谐音编码是什么？	🦊 尾巴（wěi ba）	数字编码 谐音
59的谐音编码是什么？	⭐ 五角星（wǔ jiǎo）	数字编码 谐音
60的谐音编码是什么？	🥭 榴莲（liú líng）	数字编码 谐音
61的谐音编码是什么？	👧 儿童（liù yī）	数字编码 谐音
62的谐音编码是什么？	🐂 牛儿（niú ér）	数字编码 谐音
63的谐音编码是什么？	⏳ 流沙（liú shā）	数字编码 谐音
64的谐音编码是什么？	🔩 螺丝（luó sī）	数字编码 谐音
65的谐音编码是什么？	🥁 锣鼓（liù wǔ）	数字编码 谐音
66的谐音编码是什么？	🪀 溜溜球（liù liù）	数字编码 谐音
67的谐音编码是什么？	🏁 绿旗（liù qī）	数字编码 谐音
68的谐音编码是什么？	🥩 牛排（liù bā）	数字编码 谐音
69的谐音编码是什么？	🏝️ 琉球（liú jiǔ）	数字编码 谐音
70的谐音编码是什么？	🦄 麒麟（qí líng）	数字编码 谐音
71的谐音编码是什么？	👕 洗衣（qī yī）	数字编码 谐音
72的谐音编码是什么？	🐧 企鹅（qī èr）	数字编码 谐音
73的谐音编码是什么？	🥚 鸡蛋（jī dàn）	数字编码 谐音
74的谐音编码是什么？	🏇 骑士（qí shì）	数字编码 谐音
75的谐音编码是什么？	🧱 积木（jī mù）	数字编码 谐音
76的谐音编码是什么？	🦏 犀牛（qī liù）	数字编码 谐音
77的谐音编码是什么？	🦗 蛐蛐（qū qū）	数字编码 谐音
78的谐音编码是什么？	🍉 西瓜（xī guā）	数字编码 谐音
79的谐音编码是什么？	🎈 气球（qì qiú）	数字编码 谐音
80的谐音编码是什么？	🐦 百灵鸟（bǎi líng）	数字编码 谐音
81的谐音编码是什么？	🐜 蚂蚁（bā yī）	数字编码 谐音
82的谐音编码是什么？	🎯 靶儿（bǎ ér）	数字编码 谐音
83的谐音编码是什么？	🥜 花生（bā sān）	数字编码 谐音
84的谐音编码是什么？	🍯 拔丝（bā sì）	数字编码 谐音
85的谐音编码是什么？	💎 宝物（bǎo wù）	数字编码 谐音
86的谐音编码是什么？	⭐ 八路（bā lù）	数字编码 谐音
87的谐音编码是什么？	♟️ 白棋（bái qí）	数字编码 谐音
88的谐音编码是什么？	👨 爸爸（bā ba）	数字编码 谐音
89的谐音编码是什么？	🍌 芭蕉（bā jiāo）	数字编码 谐音
90的谐音编码是什么？	🧚 精灵（jīng líng）	数字编码 谐音
91的谐音编码是什么？	👕 球衣（jiǔ yī）	数字编码 谐音
92的谐音编码是什么？	⚽ 球儿（qiú ér）	数字编码 谐音
93的谐音编码是什么？	☂️ 旧伞（jiǔ sān）	数字编码 谐音
94的谐音编码是什么？	🏫 教室（jiǔ sì）	数字编码 谐音
95的谐音编码是什么？	🚑 救护车（jiǔ wǔ）	数字编码 谐音
96的谐音编码是什么？	🍜 酒楼（jiǔ lóu）	数字编码 谐音
97的谐音编码是什么？	🏳️ 旧旗（jiǔ qī）	数字编码 谐音
98的谐音编码是什么？	🍺 酒吧（jiǔ bā）	数字编码 谐音
99的谐音编码是什么？	👨 舅舅（jiù jiu）	数字编码 谐音
